Race,Gender,Education,Education-Mother,Education-Father,Self-Subjective,2010SOC,2018SOC,2019ONetSOC,Self-Objective,familarity
6,1,6,6,6,4,39-9021,31-1122,31-1122.00,3.909090909090909,2
3,1,8,12,12,2,31-2010,31-2011,31-2011.00,3.272727272727273,2
5,2,6,5,6,3,43-6010,43-6011,43-6011.00,5.272727272727272,3
5,1,12,6,11,4,11-3021,11-3021,11-3021.00,4.058823529411764,6
6,1,11,11,13,2,49-9010,49-9011,49-9011.00,4.12,2
5,2,4,11,,6,15-1199,15-1299,15-1299.00,4.7565844967921045,5.444444444444445
5,1,9,10,11,7,11-9051,11-9051,11-9051.00,4.785714285714286,2
5,2,14,13,13,5,23-1011,23-1011,23-1011.00,3.818181818181818,3
6,1,8,9,,7,49-9071,49-9071,49-9071.00,4.233333333333333,2
3,2,11,7,6,1,39-9011,39-9011,39-9011.00,3.16,2
5,2,11,6,6,4,25-2020,25-2021,25-2021.00,3.078947368421053,2
3,2,8,9,6,2,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,4,11,11,1,39-1021,39-1014,39-1014.00,3.789473684210526,2
2,1,10,1,1,1,47-4051,47-4051,47-4051.00,4.631578947368421,2
5,1,11,6,6,3,15-1121,15-1211,15-1211.00,4.681818181818182,6
3,2,7,6,6,1,35-1011,35-1011,35-1011.00,4.380952380952381,2
5,2,6,5,5,4,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
6,2,11,11,11,5,41-9020,41-9021,41-9021.00,4.684210526315789,2
5,2,6,7,9,1,31-1010,31-1121,31-1121.00,3.8,2
5,1,11,12,12,5,15-1131,15-1251,15-1251.00,5,6
5,2,10,1,1,1,47-2061,47-2061,47-2061.00,4.125,2
5,2,11,6,8,2,29-1122,29-1122,29-1122.00,3.529411764705882,2
6,2,12,9,6,7,27-3043,27-3043,27-3043.00,4.35,3
5,1,11,6,11,1,13-1111,13-1111,13-1111.00,4.181818181818182,5
6,2,9,,,6,31-2020,31-2021,31-2021.00,3.523809523809524,2
5,2,7,8,,1,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,12,10,12,2,53-2010,53-2011,53-2011.00,4.730769230769231,3
5,2,6,6,6,5,27-3031,27-3031,27-3031.00,3.611111111111111,3
5,2,9,11,10,1,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,2,8,6,12,7,39-9099,39-9099,39-9099.00,3.2355725677830947,2
3,2,13,6,6,6,23-1011,23-1011,23-1011.00,3.818181818181818,3
5,3,11,11,11,1,35-1012,35-1012,35-1012.00,4.615384615384615,2
5,2,12,6,12,1,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,6,10,10,4,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,11,6,6,1,11-9030,11-9031,11-9031.00,3.705882352941177,2
5,2,10,6,6,1,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,6,6,6,5,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,2,11,10,6,3,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,12,6,13,4,23-1011,23-1011,23-1011.00,3.818181818181818,3
5,2,6,6,6,4,25-9041,25-9042,25-9042.00,3.9,2
5,2,12,10,11,1,19-1020,19-1021,19-1021.00,4.25,5
5,2,10,9,6,1,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
6,2,6,6,6,3,35-3021,35-3023,35-3023.00,5.464285714285714,2
5,2,11,11,13,3,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,11,4,4,6,11-3021,11-3021,11-3021.00,4.058823529411764,6
6,2,9,7,9,4,43-9199,43-9199,43-9199.00,5.642857142857143,5
6,2,5,5,1,1,43-3011,43-3011,43-3011.00,5.6,2
3,1,9,6,9,3,35-9021,35-9021,35-9021.00,5.461538461538462,2
6,2,10,,11,5,17-2110,17-2111,17-2111.00,3.888888888888889,3
2,2,11,11,11,5,15-1121,15-1211,15-1211.00,4.681818181818182,6
5,2,6,6,6,7,37-2011,37-2011,37-2011.00,5.173913043478261,2
5,1,9,4,6,2,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,9,6,,5,15-1121,15-1211,15-1211.00,4.681818181818182,6
5,2,11,6,11,5,43-9199,43-9199,43-9199.00,5.642857142857143,5
5,1,11,1,6,1,29-2030,29-2031,29-2031.00,4.64,3
6,1,9,1,5,5,45-3011,45-3031,45-3031.00,4.133333333333334,2
5,2,9,11,11,5,25-1199,25-1199,25-1199.00,3.6187894472677082,3
2,2,11,11,11,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,6,4,4,2,11-3051,11-3051,11-3051.00,4.666666666666667,4
5,2,12,11,12,6,11-1011,11-1011,11-1011.03,3.611111111111111,4
6,2,11,1,1,4,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,2,12,11,6,2,27-3043,27-3043,27-3043.00,4.35,3
5,2,12,6,4,1,29-1129,29-1129,29-1129.00,3.529793774044987,2.3
6,2,9,9,9,3,33-3031,33-3031,33-3031.00,3.541666666666667,2
5,2,9,10,10,4,43-4121,43-4121,43-4121.00,5.212121212121212,2
3,2,11,4,4,4,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
3,2,11,7,,6,41-2010,41-2011,41-2011.00,5.758620689655173,2
6,2,9,9,7,4,53-2031,53-2031,53-2031.00,4.72,2
5,2,10,11,10,1,41-2031,41-2031,41-2031.00,5.583333333333333,2
3,2,9,10,10,4,29-2090,29-2091,29-2091.00,3.2,2
3,1,11,12,12,1,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,6,6,6,1,39-9011,39-9011,39-9011.00,3.16,2
5,1,10,10,10,5,27-1020,27-1021,27-1021.00,3.941176470588236,4
3,1,12,12,5,4,25-2020,25-2021,25-2021.00,3.078947368421053,2
3,2,10,9,11,1,25-1199,25-1199,25-1199.00,3.6187894472677082,3
5,2,6,6,6,5,43-6010,43-6011,43-6011.00,5.272727272727272,3
5,2,6,11,6,4,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,2,12,11,11,5,43-4051,43-4051,43-4051.00,5.066666666666666,2
6,1,11,5,5,6,15-1121,15-1211,15-1211.00,4.681818181818182,6
5,1,11,11,12,6,35-3041,35-3041,35-3041.00,5.571428571428571,2
5,1,6,6,6,1,23-2011,23-2011,23-2011.00,4.25,3
5,1,10,6,6,6,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,2,9,9,9,4,43-6010,43-6011,43-6011.00,5.272727272727272,3
5,2,11,11,12,5,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,1,6,6,6,7,11-9030,11-9031,11-9031.00,3.705882352941177,2
5,2,8,6,6,1,37-2012,37-2012,37-2012.00,4.84,2
6,2,9,7,5,1,25-2010,25-2011,25-2011.00,2.823529411764706,2
3,1,12,8,13,2,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,1,13,11,13,3,29-1060,29-1211,29-1211.00,3.666666666666667,3
5,2,11,11,11,4,41-9010,41-9011,41-9011.00,4.75,2
3,2,11,6,6,1,43-6010,43-6011,43-6011.00,5.272727272727272,3
2,1,11,4,10,7,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
6,2,3,14,7,6,41-4010,41-4011,41-4011.00,4.944444444444445,4
5,2,8,6,9,1,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,2,6,6,6,1,35-3031,35-3031,35-3031.00,5,2
5,1,12,8,11,2,25-2030,25-2031,25-2031.00,3.0625,3
5,2,9,11,5,1,37-3019,37-3019,37-3019.00,4.264102564102564,2
5,2,12,6,11,1,13-1161,13-1161,13-1161.00,5.153846153846154,5
3,1,12,12,12,7,25-1199,25-1199,25-1199.00,3.6187894472677082,3
5,2,10,6,6,5,31-9093,31-9093,31-9093.00,4.8125,2
3,2,7,11,12,3,15-1122,15-1212,15-1212.00,4.833333333333333,5
5,2,11,6,6,7,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,1,14,14,13,6,37-1012,37-1012,37-1012.00,4.357142857142857,2
6,1,12,11,12,1,47-4011,47-4011,47-4011.00,4.631578947368421,2
5,2,10,12,11,5,43-4081,43-4081,43-4081.00,5.6,2
6,2,8,12,12,1,41-3099,41-3091,41-3091.00,5.2,3
5,2,11,6,6,4,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,2,12,12,12,1,39-1021,39-1014,39-1014.00,3.789473684210526,2
2,1,12,6,6,3,11-3021,11-3021,11-3021.00,4.058823529411764,6
5,1,13,12,12,4,29-1060,29-1211,29-1211.00,3.666666666666667,3
5,2,6,6,,2,11-3061,11-3061,11-3061.00,5,3
5,2,9,6,6,1,35-3041,35-3041,35-3041.00,5.571428571428571,2
5,2,10,8,8,2,43-4199,43-4199,43-4199.00,5.580262878676192,2
5,2,6,6,6,4,35-3041,35-3041,35-3041.00,5.571428571428571,2
5,1,11,10,12,6,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,12,6,9,2,11-2020,11-2021,11-2021.00,4.25,5
5,2,11,10,12,4,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,9,11,11,6,15-1121,15-1211,15-1211.00,4.681818181818182,6
3,2,8,9,6,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,11,11,11,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
3,2,9,9,6,1,27-1020,27-1021,27-1021.00,3.941176470588236,4
5,2,9,6,11,1,41-9020,41-9021,41-9021.00,4.684210526315789,2
5,1,9,6,9,2,15-1142,15-1244,15-1244.00,5.2,5
3,2,11,11,11,2,29-1171,29-1171,29-1171.00,4.111111111111111,3
5,2,6,6,6,1,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,11,8,9,1,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,8,6,6,1,35-1012,35-1012,35-1012.00,4.615384615384615,2
5,1,8,8,6,5,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,2,9,10,12,2,39-9030,39-9031,39-9031.00,3.409090909090909,2
5,2,9,4,11,2,23-2011,23-2011,23-2011.00,4.25,3
5,1,11,11,11,3,41-3099,41-3091,41-3091.00,5.2,3
3,1,11,7,6,4,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,1,11,1,11,7,53-1031,53-1043,53-1043.00,4.727272727272728,2
5,2,9,6,7,1,27-2040,27-2041,27-2041.00,4.1,2
5,1,11,11,11,6,45-2090,45-2091,45-2091.00,5.235294117647059,2
3,1,6,6,6,4,41-3031,41-3031,41-3031.00,5.533333333333333,4
5,2,10,6,6,4,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,2,9,12,12,3,15-1121,15-1211,15-1211.00,4.681818181818182,6
5,1,6,6,10,1,47-2181,47-2181,47-2181.00,3.25,2
5,2,10,12,13,7,15-1143,15-1241,15-1241.00,4.696969696969697,5
5,2,12,13,6,5,19-4090,19-4042,19-4042.00,4.923076923076923,3
5,2,11,10,9,2,43-4051,43-4051,43-4051.00,5.066666666666666,2
5,2,6,6,6,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,6,9,8,3,25-4021,25-4022,25-4022.00,4.366666666666666,3
5,2,8,6,6,7,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,2,12,8,6,1,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,2,9,6,11,3,37-2011,37-2011,37-2011.00,5.173913043478261,2
5,2,11,6,6,7,13-1021,13-1021,13-1021.00,5.083333333333333,2
5,2,5,8,4,1,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,1,10,10,12,3,33-3031,33-3031,33-3031.00,3.541666666666667,2
5,2,11,6,5,7,37-2012,37-2012,37-2012.00,4.84,2
3,2,9,6,6,3,43-3021,43-3021,43-3021.00,6,2
5,2,11,7,8,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,9,6,4,4,37-3019,37-3019,37-3019.00,4.264102564102564,2
5,1,10,8,10,3,21-2011,21-2011,21-2011.00,2.285714285714286,2
5,2,12,6,11,4,25-1199,25-1199,25-1199.00,3.6187894472677082,3
3,2,6,5,5,3,19-4090,19-4042,19-4042.00,4.923076923076923,3
2,1,12,4,7,4,25-9041,25-9042,25-9042.00,3.9,2
6,3,11,8,12,4,21-1093,21-1093,21-1093.00,4.05,2
3,2,6,8,,7,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,1,14,14,14,2,15-1131,15-1251,15-1251.00,5,6
5,2,9,5,9,7,43-9061,43-9061,43-9061.00,5.571428571428571,2
5,1,11,6,6,2,25-2030,25-2031,25-2031.00,3.0625,3
5,1,12,6,11,1,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,2,6,14,6,3,15-2031,15-2031,15-2031.00,4.1875,6
3,2,7,7,,7,25-2030,25-2031,25-2031.00,3.0625,3
6,2,6,6,6,4,41-3099,41-3091,41-3091.00,5.2,3
5,1,13,6,6,3,13-2099,13-2099,13-2099.00,5.02605274,3.375
6,2,9,6,7,5,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,12,12,12,6,15-1131,15-1251,15-1251.00,5,6
3,2,6,8,,5,53-3030,53-3031,53-3031.00,5.5,2
5,2,10,6,6,1,39-5090,39-5091,39-5091.00,3.571428571428572,2
6,2,9,7,10,5,51-4111,51-4111,51-4111.00,5.235294117647059,2
5,2,11,6,7,5,39-7010,39-7011,39-7011.00,4.789473684210527,2
3,2,8,6,6,1,43-9199,43-9199,43-9199.00,5.642857142857143,5
5,2,8,9,6,7,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
3,2,6,,,5,35-2021,35-2021,35-2021.00,5.322580645,2
5,1,9,12,12,2,49-1011,49-1011,49-1011.00,4.636363636363637,2
5,1,11,11,12,7,13-1011,13-1011,13-1011.00,4.571428571428571,3
5,2,6,6,6,1,31-1010,31-1121,31-1121.00,3.8,2
3,2,8,8,11,2,31-9093,31-9093,31-9093.00,4.8125,2
6,2,4,4,,5,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,10,11,11,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,10,10,11,2,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,2,10,6,4,1,51-4041,51-4041,51-4041.00,4.620689655172414,2
6,2,10,9,6,4,31-1010,31-1121,31-1121.00,3.8,2
5,1,13,13,12,6,11-1011,11-1011,11-1011.03,3.611111111111111,4
3,1,9,1,1,5,13-1022,13-1022,13-1022.00,4.9,3
5,2,8,6,6,6,35-9011,35-9011,35-9011.00,5.666666666666667,2
5,2,4,1,1,1,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,1,11,6,8,6,11-1021,11-1021,11-1021.00,4.764705882352941,4
3,2,9,9,6,1,29-1123,29-1123,29-1123.00,3.166666666666667,2
5,2,6,5,6,7,35-3031,35-3031,35-3031.00,5,2
5,2,12,11,11,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
6,1,9,6,8,7,15-1122,15-1212,15-1212.00,4.833333333333333,5
3,2,12,4,,4,19-4090,19-4042,19-4042.00,4.923076923076923,3
6,2,11,10,6,5,39-9011,39-9011,39-9011.00,3.16,2
5,2,12,6,6,2,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
6,2,11,11,11,3,45-3011,45-3031,45-3031.00,4.133333333333334,2
6,2,8,10,5,1,41-9010,41-9011,41-9011.00,4.75,2
2,1,11,,4,6,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,1,8,6,7,2,33-9030,33-9031,33-9031.00,5.125,2
5,2,10,4,4,5,21-1091,21-1091,21-1091.00,3.625,3
5,2,8,6,4,1,47-1011,47-1011,47-1011.00,4.133333333333334,2
3,3,13,,13,6,51-4199,51-4199,51-4199.00,5.094727263142216,2.142857142857143
5,2,9,7,6,1,21-1091,21-1091,21-1091.00,3.625,3
5,2,10,6,6,2,31-9093,31-9093,31-9093.00,4.8125,2
3,2,6,6,6,1,43-4171,43-4171,43-4171.00,5.684210526315789,2
5,1,11,6,11,2,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,6,6,6,5,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,10,10,11,3,31-9093,31-9093,31-9093.00,4.8125,2
5,1,11,4,4,4,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,1,10,10,4,1,49-1011,49-1011,49-1011.00,4.636363636363637,2
3,1,6,6,6,6,47-1011,47-1011,47-1011.00,4.133333333333334,2
3,2,1,2,2,1,37-2011,37-2011,37-2011.00,5.173913043478261,2
3,2,2,4,,1,31-9092,31-9092,31-9092.00,4.95,2
5,2,10,4,4,2,29-1141,29-1141,29-1141.00,3.740740740740741,2
3,1,6,6,6,4,45-3021,45-3031,45-3031.00,4.133333333333334,2
6,2,9,9,13,2,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,6,,6,1,35-3041,35-3041,35-3041.00,5.571428571428571,2
5,1,12,5,6,3,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,1,6,11,12,1,35-3011,35-3011,35-3011.00,4.95,2
3,2,8,4,4,7,43-9041,43-9041,43-9041.00,5.814814814814815,2
5,1,12,14,12,7,47-1011,47-1011,47-1011.00,4.133333333333334,2
3,1,11,10,10,6,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,2,10,6,,2,33-9092,33-9092,33-9092.00,4.333333333333333,2
5,2,11,12,10,1,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,9,6,6,4,11-1021,11-1021,11-1021.00,4.764705882352941,4
6,1,11,3,1,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,6,6,6,3,43-9199,43-9199,43-9199.00,5.642857142857143,5
5,2,11,6,7,1,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,1,14,14,12,7,19-1020,19-1021,19-1021.00,4.25,5
5,2,9,9,6,5,39-3090,39-3091,39-3091.00,4.684210526315789,2
5,2,5,1,1,1,43-2099,43-2099,43-2099.00,5.927631578947368,2
5,1,6,6,11,4,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
3,2,14,12,8,1,29-1129,29-1129,29-1129.00,3.529793774044987,2.3
5,2,9,6,6,3,35-3031,35-3031,35-3031.00,5,2
3,1,9,10,8,7,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,1,5,10,6,2,53-3030,53-3031,53-3031.00,5.5,2
5,2,10,6,6,5,31-9094,31-9094,31-9094.00,5.733333333333333,3
5,2,10,6,9,1,31-9093,31-9093,31-9093.00,4.8125,2
5,2,10,11,9,4,35-3041,35-3041,35-3041.00,5.571428571428571,2
5,2,8,6,12,2,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,12,6,6,1,53-6099,53-6099,53-6099.00,5.192724867724867,2.111111111111111
3,2,11,7,12,4,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,11,10,6,5,31-9093,31-9093,31-9093.00,4.8125,2
3,1,11,9,7,7,15-1131,15-1251,15-1251.00,5,6
5,2,8,,,4,47-1011,47-1011,47-1011.00,4.133333333333334,2
3,2,12,11,9,1,29-1129,29-1129,29-1129.00,3.529793774044987,2.3
3,2,10,5,5,5,29-2021,29-1292,29-1292.00,4.388888888888889,2
5,2,12,6,6,1,25-2050,25-2051,25-2051.00,2.944444444444445,2
2,1,12,,,5,27-2099,27-2099,27-2099.00,3.492280205809955,2.4615384615384617
5,2,8,6,6,1,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
6,2,8,9,13,6,27-1010,27-1011,27-1011.00,3.625,3
3,1,10,8,11,3,35-1011,35-1011,35-1011.00,4.380952380952381,2
5,1,10,9,9,2,41-9020,41-9021,41-9021.00,4.684210526315789,2
6,2,11,5,12,6,17-3010,17-3011,17-3011.00,5.035714285714286,3
5,1,6,6,6,1,35-1011,35-1011,35-1011.00,4.380952380952381,2
2,1,11,11,11,1,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,6,6,6,5,43-3051,43-3051,43-3051.00,5.863636363636363,2
6,2,6,5,,7,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,12,6,6,2,29-1199,29-1299,29-1299.00,3.7570639784478796,2.88
5,2,12,6,6,2,29-1141,29-1141,29-1141.00,3.740740740740741,2
3,2,6,6,5,2,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,6,6,4,2,13-1041,13-1041,13-1041.00,5.3125,3
3,1,5,7,14,2,45-2041,45-2041,45-2041.00,5.166666666666667,2
5,2,12,6,10,1,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,2,9,6,9,1,51-1011,51-1011,51-1011.00,4.7,3
5,2,6,1,5,2,35-2021,35-2021,35-2021.00,5.322580645,2
5,2,3,,,4,47-2141,47-2141,47-2141.00,3.789473684210526,2
5,2,11,10,,7,41-2010,41-2011,41-2011.00,5.758620689655173,2
6,2,6,4,4,7,43-5053,43-5053,43-5053.00,5.588235294117647,2
5,2,9,6,,4,31-1010,31-1121,31-1121.00,3.8,2
5,2,13,6,8,5,23-1011,23-1011,23-1011.00,3.818181818181818,3
2,2,6,3,5,3,39-7010,39-7011,39-7011.00,4.789473684210527,2
5,2,6,,,7,43-4151,43-4151,43-4151.00,6,2
3,2,9,6,6,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,6,10,6,2,43-2021,43-2021,43-2021.00,5.75,2
6,2,11,6,10,5,17-1010,17-1011,17-1011.00,4.166666666666667,3
5,2,11,9,9,5,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,1,6,6,6,3,11-3051,11-3051,11-3051.00,4.666666666666667,4
5,2,12,10,13,5,25-2030,25-2031,25-2031.00,3.0625,3
5,1,4,4,6,4,25-2010,25-2011,25-2011.00,2.823529411764706,2
5,2,9,6,6,1,29-2061,29-2061,29-2061.00,4.217391304347826,2
5,1,10,6,6,1,49-2020,49-2021,49-2021.00,4.466666666666667,2
5,2,6,9,10,2,49-9071,49-9071,49-9071.00,4.233333333333333,2
5,1,8,4,4,5,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,1,11,6,6,3,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,11,10,12,7,11-3031,11-3031,11-3031.00,4.952380952380953,5
5,2,8,6,6,1,43-4171,43-4171,43-4171.00,5.684210526315789,2
5,1,6,6,10,3,47-2031,47-2031,47-2031.00,4,2
5,2,6,7,1,4,35-3021,35-3023,35-3023.00,5.464285714285714,2
5,2,7,1,8,4,31-2020,31-2021,31-2021.00,3.523809523809524,2
5,2,8,11,6,1,31-1010,31-1121,31-1121.00,3.8,2
6,2,6,,,3,35-3022,35-3023,35-3023.00,5.464285714285714,2
5,2,12,8,9,3,25-2020,25-2021,25-2021.00,3.078947368421053,2
6,2,11,9,11,1,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,2,11,6,6,4,31-9093,31-9093,31-9093.00,4.8125,2
5,2,11,6,6,1,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,2,11,6,10,3,19-1099,19-1099,19-1099.00,4.046198759029641,3.375
2,1,12,12,12,5,15-1122,15-1212,15-1212.00,4.833333333333333,5
3,2,11,1,8,5,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,2,12,5,6,3,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,1,8,7,7,5,41-3011,41-3011,41-3011.00,4.9,3
5,1,6,6,6,5,15-1199,15-1299,15-1299.00,4.7565844967921045,5.444444444444445
5,1,10,11,10,3,11-9051,11-9051,11-9051.00,4.785714285714286,2
3,1,11,7,11,7,17-1010,17-1011,17-1011.00,4.166666666666667,3
5,2,12,6,9,1,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,2,7,6,6,4,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,2,10,6,6,6,43-4051,43-4051,43-4051.00,5.066666666666666,2
2,1,6,,,4,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,1,13,6,12,4,23-1011,23-1011,23-1011.00,3.818181818181818,3
5,2,11,4,8,6,15-1142,15-1244,15-1244.00,5.2,5
6,2,10,6,6,5,15-1131,15-1251,15-1251.00,5,6
5,2,11,13,6,3,35-9031,35-9031,35-9031.00,4.590909090909091,2
6,1,10,1,11,3,15-1142,15-1244,15-1244.00,5.2,5
5,2,10,10,10,1,29-1123,29-1123,29-1123.00,3.166666666666667,2
5,1,6,7,8,5,47-2141,47-2141,47-2141.00,3.789473684210526,2
5,2,9,6,6,5,31-9093,31-9093,31-9093.00,4.8125,2
5,1,12,6,6,1,47-2141,47-2141,47-2141.00,3.789473684210526,2
6,2,10,4,6,7,11-3061,11-3061,11-3061.00,5,3
5,2,12,14,12,3,51-9199,51-9199,51-9199.00,5.279794546297018,2.2777777777777777
3,1,11,11,11,1,17-1010,17-1011,17-1011.00,4.166666666666667,3
5,1,11,9,13,5,29-2071,29-2072,29-2072.00,5.882352941176471,3
5,1,6,6,6,1,49-9071,49-9071,49-9071.00,4.233333333333333,2
5,2,11,13,12,6,27-1020,27-1021,27-1021.00,3.941176470588236,4
3,2,6,6,6,4,11-9030,11-9031,11-9031.00,3.705882352941177,2
5,2,7,10,,7,35-3021,35-3023,35-3023.00,5.464285714285714,2
5,2,11,6,4,3,43-4161,43-4161,43-4161.00,5.631578947368421,2
5,2,10,7,7,4,11-9030,11-9031,11-9031.00,3.705882352941177,2
5,1,12,12,11,7,39-1010,39-1013,39-1013.00,4.833333333333333,2
5,2,14,10,11,1,27-1010,27-1011,27-1011.00,3.625,3
5,1,11,6,6,1,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,1,11,8,10,3,11-2031,11-2032,11-2032.00,3.9,3
5,2,6,9,6,1,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,2,11,12,14,4,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,12,11,12,1,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,2,11,12,13,3,11-9081,11-9081,11-9081.00,4.583333333333333,2
5,2,8,5,8,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
3,2,9,9,8,5,13-1030,13-1031,13-1031.00,4.689655172413793,3
5,2,12,11,6,1,45-3011,45-3031,45-3031.00,4.133333333333334,2
5,2,9,10,6,5,31-9097,31-9097,31-9097.00,4.833333333333333,2
5,2,9,8,8,1,45-2090,45-2091,45-2091.00,5.235294117647059,2
5,2,10,7,4,2,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,2,6,4,4,1,35-1012,35-1012,35-1012.00,4.615384615384615,2
5,1,7,6,6,3,47-2061,47-2061,47-2061.00,4.125,2
2,2,11,9,11,2,29-1141,29-1141,29-1141.00,3.740740740740741,2
6,2,12,12,12,6,25-4031,25-4031,25-4031.00,5.171428571428572,3
5,1,6,9,6,4,51-2090,51-2051,51-2051.00,4.8125,2
5,2,6,7,7,5,53-7062,53-7062,53-7062.00,5.190476190476191,2
5,2,7,9,7,3,29-1060,29-1211,29-1211.00,3.666666666666667,3
5,2,10,11,6,3,45-1011,45-1011,45-1011.00,4.566666666666666,2
5,2,4,4,6,4,35-9099,35-9099,35-9099.00,5.239704739704739,2
5,1,6,12,11,4,39-5090,39-5091,39-5091.00,3.571428571428572,2
5,1,11,6,12,1,11-9021,11-9021,11-9021.00,3.96,2
5,2,5,4,6,2,31-1010,31-1121,31-1121.00,3.8,2
5,2,9,6,6,7,43-4161,43-4161,43-4161.00,5.631578947368421,2
5,2,8,13,13,6,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,2,11,6,11,1,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,1,12,10,11,7,47-4011,47-4011,47-4011.00,4.631578947368421,2
3,2,8,11,11,4,15-2031,15-2031,15-2031.00,4.1875,6
