Race,Gender,Education,Education-Mother,Education-Father,Self-Subjective,2010SOC,2018SOC,2019ONetSOC,Self-Objective,familarity
5,1,11,6,6,2,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
3,2,6,6,6,3,41-2031,41-2031,41-2031.00,5.583333333333333,2
6,1,9,2,5,2,37-1012,37-1012,37-1012.00,4.357142857142857,2
5,2,10,6,6,1,31-2020,31-2021,31-2021.00,3.523809523809524,2
5,2,11,6,6,1,31-1010,31-1121,31-1121.00,3.8,2
5,1,12,4,4,1,15-1121,15-1211,15-1211.00,4.681818181818182,6
5,1,12,6,7,2,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,1,11,8,11,4,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
3,1,10,9,9,7,41-1012,41-1012,41-1012.00,4.722222222222222,3
6,1,11,,,7,11-9081,11-9081,11-9081.00,4.583333333333333,2
3,2,12,11,,3,21-1091,21-1091,21-1091.00,3.625,3
3,2,8,7,8,1,49-2011,49-2011,49-2011.00,5.12,3
5,2,10,6,6,1,43-6010,43-6011,43-6011.00,5.272727272727272,3
5,2,6,10,7,3,49-9071,49-9071,49-9071.00,4.233333333333333,2
5,2,12,10,8,2,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
3,2,6,6,6,7,15-1150,15-1232,15-1232.00,4.5625,5
5,2,10,6,6,4,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,1,8,10,9,7,13-2051,13-2051,13-2051.00,4.846153846153846,5
3,2,6,6,6,7,51-9198,51-9198,51-9198.00,5.617647058823529,2
5,2,6,,9,3,35-9011,35-9011,35-9011.00,5.666666666666667,2
5,2,11,12,12,4,25-2020,25-2021,25-2021.00,3.078947368421053,2
3,2,9,6,6,4,51-6099,51-6099,51-6099.00,5.049658090447564,2
5,1,9,6,7,2,49-9043,49-9043,49-9043.00,5.166666666666667,2
5,2,6,9,9,7,27-1010,27-1011,27-1011.00,3.625,3
5,2,11,6,11,3,27-3043,27-3043,27-3043.00,4.35,3
5,2,14,11,12,6,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,2,9,6,6,1,41-3099,41-3091,41-3091.00,5.2,3
2,2,9,6,9,5,43-9199,43-9199,43-9199.00,5.642857142857143,5
2,1,12,6,6,5,11-3011,11-3012,11-3012.00,4.222222222222222,3
5,2,10,10,11,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,8,6,8,1,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
3,1,6,9,6,5,47-2061,47-2061,47-2061.00,4.125,2
5,2,10,6,6,5,23-2090,27-3092,27-3092.00,5.642857142857143,2
5,2,11,6,7,3,41-3099,41-3091,41-3091.00,5.2,3
5,2,9,1,,5,51-2090,51-2051,51-2051.00,4.8125,2
